,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
56,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,08:00,Wednesday,2019-07-03 08:00:00,3.9099999999999997,3.9424999999999994,-0.8243500317057643,no,None,None,None,06/2019
57,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,09:00,Wednesday,2019-07-03 09:00:00,3.85,3.96,-2.7777777777777746,no,None,None,None,06/2019
58,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,10:00,Wednesday,2019-07-03 10:00:00,3.91,3.9174999999999995,-0.1914486279514843,no,None,None,None,06/2019
59,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,11:00,Wednesday,2019-07-03 11:00:00,3.9800000000000004,3.9525,0.6957621758380848,no,None,None,None,06/2019
60,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,12:00,Wednesday,2019-07-03 12:00:00,4.02,3.9825,0.9416195856873734,no,None,None,None,06/2019
61,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,13:00,Wednesday,2019-07-03 13:00:00,4.04,4.045,-0.12360939431396523,no,None,None,None,06/2019
62,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,14:00,Wednesday,2019-07-03 14:00:00,4.079999999999999,4.1225,-1.0309278350515567,no,None,None,None,06/2019
63,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,15:00,Wednesday,2019-07-03 15:00:00,4.089999999999999,4.29,-4.662004662004686,no,None,None,None,06/2019
64,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,16:00,Wednesday,2019-07-03 16:00:00,4.129999999999999,4.4025,-6.189664963089173,no,None,None,None,06/2019
65,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,17:00,Wednesday,2019-07-03 17:00:00,4.129999999999999,5.6049999999999995,-26.31578947368422,no,None,None,None,06/2019
66,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,18:00,Wednesday,2019-07-03 18:00:00,4.06,5.105,-20.47012732615085,no,None,None,None,06/2019
67,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,19:00,Wednesday,2019-07-03 19:00:00,3.92,3.9874999999999994,-1.692789968652024,no,None,None,None,06/2019
68,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,20:00,Wednesday,2019-07-03 20:00:00,3.89,4.0675,-4.363859864781801,no,None,None,None,06/2019
69,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,21:00,Wednesday,2019-07-03 21:00:00,3.98,4.0775,-2.3911710606989507,no,None,None,None,06/2019
70,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,22:00,Wednesday,2019-07-03 22:00:00,3.91,4.27,-8.430913348946124,no,None,None,None,06/2019
71,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/03,23:00,Wednesday,2019-07-03 23:00:00,4.06,4.0625,-0.06153846153847116,no,None,None,None,06/2019
72,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,00:00,Thursday,2019-07-04 00:00:00,3.9899999999999993,4.0475,-1.4206300185299812,no,None,None,None,06/2019
73,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,01:00,Thursday,2019-07-04 01:00:00,3.8700000000000006,3.9575,-2.210991787744775,no,None,None,None,06/2019
74,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,02:00,Thursday,2019-07-04 02:00:00,3.99,3.9350000000000005,1.3977128335451006,no,None,None,None,06/2019
75,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,03:00,Thursday,2019-07-04 03:00:00,3.9999999999999996,3.8975,2.6298909557408487,no,None,None,None,06/2019
76,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,04:00,Thursday,2019-07-04 04:00:00,3.83,3.8625,-0.8414239482200584,no,None,None,None,06/2019
